Start_Date,Data Value,Date
01/01/2005,5.3,2005-01-01
06/01/2010,28.14,2010-06-01
06/01/2011,27.44,2011-06-01
06/01/2016,30.12,2016-06-01
06/01/2016,32.01,2016-06-01
01/01/2005,3.1,2005-01-01
01/01/2005,3.5,2005-01-01
01/01/2019,17.04,2019-01-01
12/01/2013,27.2,2013-12-01
01/01/2019,16.43,2019-01-01
12/01/2008,30.04,2008-12-01
12/01/2013,28.27,2013-12-01
12/01/2008,27.32,2008-12-01
12/01/2008,26.29,2008-12-01
12/01/2013,25.08,2013-12-01
12/01/2017,21.6,2017-12-01
01/01/2019,14.61,2019-01-01
12/01/2017,20.92,2017-12-01
06/01/2009,25.56,2009-06-01
06/01/2009,25.28,2009-06-01
06/01/2009,20.78,2009-06-01
01/01/2005,175.9,2005-01-01
01/01/2005,19.4,2005-01-01
01/01/2005,42.7,2005-01-01
01/01/2005,92.9,2005-01-01
01/01/2005,20.4,2005-01-01
01/01/2005,47.4,2005-01-01
01/01/2005,10.8,2005-01-01
12/01/2013,29.98,2013-12-01
12/01/2017,27.64,2017-12-01
01/01/2019,19.8,2019-01-01
01/01/2019,8.87,2019-01-01
12/01/2008,21.43,2008-12-01
12/01/2013,21.46,2013-12-01
12/01/2017,18.74,2017-12-01
12/01/2008,25.69,2008-12-01
12/01/2017,21.9,2017-12-01
12/01/2008,31.32,2008-12-01
12/01/2013,29.49,2013-12-01
06/01/2016,32.99,2016-06-01
06/01/2011,32.12,2011-06-01
06/01/2011,25.23,2011-06-01
06/01/2010,27.04,2010-06-01
06/01/2010,27.69,2010-06-01
06/01/2011,33.77,2011-06-01
06/01/2010,33.65,2010-06-01
06/01/2016,33.74,2016-06-01
06/01/2011,26.08,2011-06-01
06/01/2016,29.87,2016-06-01
12/01/2015,23.94,2015-12-01
06/01/2010,31.24,2010-06-01
06/01/2011,31.02,2011-06-01
12/01/2015,29.1,2015-12-01
06/01/2016,22.85,2016-06-01
01/01/2005,6.4,2005-01-01
01/01/2005,2.8,2005-01-01
01/01/2005,11.7,2005-01-01
01/01/2005,4.3,2005-01-01
01/01/2005,9.6,2005-01-01
01/01/2016,17.9,2016-01-01
01/01/2016,27.9,2016-01-01
01/01/2016,0.8,2016-01-01
01/01/2019,6.19,2019-01-01
01/01/2019,5.9,2019-01-01
12/01/2008,13.5,2008-12-01
12/01/2013,12.41,2013-12-01
12/01/2017,8.67,2017-12-01
12/01/2008,30.2,2008-12-01
12/01/2008,25.76,2008-12-01
12/01/2013,25.44,2013-12-01
01/01/2019,14.46,2019-01-01
06/01/2010,29.59,2010-06-01
06/01/2011,29.17,2011-06-01
06/01/2016,31.29,2016-06-01
06/01/2011,30.29,2011-06-01
06/01/2016,31.66,2016-06-01
06/01/2016,33.25,2016-06-01
12/01/2020,21.53,2020-12-01
12/01/2015,22.92,2015-12-01
06/01/2016,14.9,2016-06-01
01/01/2019,16.06,2019-01-01
12/01/2017,25.27,2017-12-01
12/01/2013,29.27,2013-12-01
01/01/2019,17.38,2019-01-01
12/01/2013,27.55,2013-12-01
01/01/2019,15.89,2019-01-01
12/01/2008,29.14,2008-12-01
12/01/2013,26.81,2013-12-01
12/01/2008,28.25,2008-12-01
06/01/2009,24.18,2009-06-01
06/01/2009,27.36,2009-06-01
06/01/2009,25.56,2009-06-01
06/01/2009,21.3,2009-06-01
01/01/2019,10.18,2019-01-01
12/01/2017,27.07,2017-12-01
01/01/2019,18.23,2019-01-01
12/01/2008,32.15,2008-12-01
12/01/2013,30.41,2013-12-01
01/01/2019,17.58,2019-01-01
12/01/2008,30.61,2008-12-01
12/01/2017,24.65,2017-12-01
01/01/2019,16.35,2019-01-01
12/01/2008,25.9,2008-12-01
01/01/2015,4.6,2015-01-01
01/01/2005,3.1,2005-01-01
01/01/2005,4.1,2005-01-01
01/01/2005,5.5,2005-01-01
01/01/2005,3.9,2005-01-01
01/01/2005,5.6,2005-01-01
01/01/2005,16.9,2005-01-01
01/01/2016,13.9,2016-01-01
01/01/2016,2.6,2016-01-01
01/01/2016,0.5,2016-01-01
12/01/2013,20.56,2013-12-01
12/01/2008,19.28,2008-12-01
12/01/2017,20.45,2017-12-01
01/01/2019,13.13,2019-01-01
12/01/2013,29.26,2013-12-01
12/01/2017,26.46,2017-12-01
12/01/2017,26.67,2017-12-01
12/01/2008,33.11,2008-12-01
12/01/2008,31.68,2008-12-01
06/01/2009,25.74,2009-06-01
06/01/2009,28.95,2009-06-01
06/01/2009,23.92,2009-06-01
12/01/2010,44.18,2010-12-01
06/01/2009,45.0,2009-06-01
12/01/2012,38.71,2012-12-01
12/01/2014,35.01,2014-12-01
01/01/2017,32.0,2017-01-01
01/01/2005,49.7,2005-01-01
01/01/2005,12.2,2005-01-01
01/01/2005,51.4,2005-01-01
01/01/2005,21.1,2005-01-01
01/01/2005,156.1,2005-01-01
01/01/2005,58.3,2005-01-01
12/01/2013,28.44,2013-12-01
01/01/2019,18.21,2019-01-01
06/01/2009,17.77,2009-06-01
06/01/2020,26.94,2020-06-01
01/01/2005,28.6,2005-01-01
01/01/2005,7.9,2005-01-01
01/01/2005,9.0,2005-01-01
01/01/2009,6.6,2009-01-01
01/02/2012,11.7,2012-01-02
01/01/2015,6.1,2015-01-01
12/01/2011,39.98,2011-12-01
01/02/2012,10.3,2012-01-02
01/01/2015,6.6,2015-01-01
06/01/2015,24.3,2015-06-01
12/01/2012,39.15,2012-12-01
12/01/2009,42.07,2009-12-01
06/01/2019,27.15,2019-06-01
12/01/2019,36.18,2019-12-01
12/01/2008,23.39,2008-12-01
12/01/2010,34.91,2010-12-01
12/01/2012,26.63,2012-12-01
06/01/2009,28.32,2009-06-01
12/01/2014,28.66,2014-12-01
01/01/2021,19.29,2021-01-01
01/01/2005,21.1,2005-01-01
01/01/2017,20.78,2017-01-01
01/01/2005,19.6,2005-01-01
01/01/2005,38.3,2005-01-01
01/01/2005,9.1,2005-01-01
01/01/2005,27.0,2005-01-01
01/01/2005,89.6,2005-01-01
12/01/2008,33.96,2008-12-01
12/01/2013,28.71,2013-12-01
12/01/2017,27.07,2017-12-01
01/01/2019,18.72,2019-01-01
01/01/2019,17.78,2019-01-01
12/01/2008,32.04,2008-12-01
12/01/2013,27.77,2013-12-01
06/01/2017,28.28,2017-06-01
06/01/2009,26.09,2009-06-01
06/01/2018,29.53,2018-06-01
06/01/2020,29.89,2020-06-01
06/01/2009,27.13,2009-06-01
01/01/2005,130.1,2005-01-01
01/01/2005,47.8,2005-01-01
01/01/2005,19.4,2005-01-01
01/01/2005,8.0,2005-01-01
01/01/2009,7.6,2009-01-01
01/01/2005,3.8,2005-01-01
01/01/2005,5.0,2005-01-01
01/01/2005,47.6,2005-01-01
01/01/2016,49.2,2016-01-01
01/01/2005,36.3,2005-01-01
01/01/2016,0.8,2016-01-01
01/01/2005,0.7,2005-01-01
12/01/2008,33.2,2008-12-01
12/01/2013,29.77,2013-12-01
12/01/2017,26.53,2017-12-01
01/01/2019,18.19,2019-01-01
01/01/2019,20.08,2019-01-01
12/01/2013,29.3,2013-12-01
12/01/2017,27.29,2017-12-01
06/01/2009,23.73,2009-06-01
06/01/2009,20.26,2009-06-01
06/01/2009,23.67,2009-06-01
06/01/2009,17.76,2009-06-01
12/01/2010,25.49,2010-12-01
06/01/2009,19.53,2009-06-01
12/01/2012,18.24,2012-12-01
12/01/2014,21.2,2014-12-01
01/01/2017,17.3,2017-01-01
01/01/2005,39.0,2005-01-01
01/01/2005,47.0,2005-01-01
01/01/2005,195.4,2005-01-01
01/01/2005,155.7,2005-01-01
01/01/2005,28.0,2005-01-01
01/01/2005,224.8,2005-01-01
01/01/2019,11.67,2019-01-01
12/01/2017,27.56,2017-12-01
01/01/2019,20.67,2019-01-01
12/01/2008,30.35,2008-12-01
12/01/2013,28.53,2013-12-01
12/01/2013,30.49,2013-12-01
12/01/2017,27.06,2017-12-01
01/01/2019,19.94,2019-01-01
12/01/2008,32.58,2008-12-01
12/01/2013,29.92,2013-12-01
12/01/2017,28.41,2017-12-01
01/01/2019,21.51,2019-01-01
06/01/2009,23.97,2009-06-01
06/01/2009,19.11,2009-06-01
06/01/2009,20.46,2009-06-01
06/01/2009,25.51,2009-06-01
12/01/2010,37.93,2010-12-01
06/01/2009,34.24,2009-06-01
12/01/2012,30.28,2012-12-01
01/01/2005,38.4,2005-01-01
01/01/2005,19.7,2005-01-01
01/01/2005,8.1,2005-01-01
01/01/2005,57.2,2005-01-01
01/01/2005,16.1,2005-01-01
01/01/2005,85.8,2005-01-01
01/01/2005,135.2,2005-01-01
01/01/2021,19.31,2021-01-01
12/01/2014,30.18,2014-12-01
01/01/2017,25.68,2017-01-01
01/01/2005,46.8,2005-01-01
01/01/2005,30.1,2005-01-01
01/01/2005,57.9,2005-01-01
01/01/2005,27.0,2005-01-01
01/01/2005,12.5,2005-01-01
12/01/2008,32.4,2008-12-01
12/01/2013,26.28,2013-12-01
12/01/2008,38.83,2008-12-01
12/01/2013,33.53,2013-12-01
12/01/2017,28.64,2017-12-01
01/01/2019,22.19,2019-01-01
01/01/2019,16.87,2019-01-01
12/01/2017,25.23,2017-12-01
01/01/2009,7.5,2009-01-01
01/01/2009,25.4,2009-01-01
01/01/2015,3.6,2015-01-01
01/02/2012,5.5,2012-01-02
01/02/2012,3.6,2012-01-02
06/01/2019,29.74,2019-06-01
06/01/2015,31.98,2015-06-01
06/01/2019,27.79,2019-06-01
06/01/2015,29.07,2015-06-01
06/01/2019,27.3,2019-06-01
06/01/2015,28.01,2015-06-01
06/01/2019,25.85,2019-06-01
06/01/2015,28.95,2015-06-01
01/01/2015,4.0,2015-01-01
12/01/2008,22.05,2008-12-01
06/01/2014,14.33,2014-06-01
01/01/2015,18.76,2015-01-01
01/01/2009,138.1,2009-01-01
01/01/2009,48.5,2009-01-01
01/01/2009,67.0,2009-01-01
12/01/2009,31.44,2009-12-01
12/01/2011,29.61,2011-12-01
06/01/2017,19.88,2017-06-01
12/01/2016,28.44,2016-12-01
06/01/2018,18.72,2018-06-01
06/01/2010,26.42,2010-06-01
06/01/2011,26.23,2011-06-01
06/01/2016,19.89,2016-06-01
12/01/2015,27.5,2015-12-01
12/01/2011,24.46,2011-12-01
12/01/2011,27.42,2011-12-01
06/01/2019,29.2,2019-06-01
06/01/2015,28.0,2015-06-01
06/01/2019,25.88,2019-06-01
06/01/2015,30.64,2015-06-01
06/01/2019,29.57,2019-06-01
01/02/2012,19.4,2012-01-02
01/02/2012,13.4,2012-01-02
01/01/2015,3.1,2015-01-01
01/02/2012,6.5,2012-01-02
01/02/2012,6.9,2012-01-02
01/01/2015,9.1,2015-01-01
01/02/2012,35.08,2012-01-02
01/01/2015,31.4,2015-01-01
01/02/2012,44.17,2012-01-02
01/01/2015,34.9,2015-01-01
01/01/2005,43.1,2005-01-01
01/01/2005,115.8,2005-01-01
12/01/2013,27.31,2013-12-01
01/01/2005,98.5,2005-01-01
01/01/2005,40.5,2005-01-01
01/01/2005,143.9,2005-01-01
01/01/2005,11.3,2005-01-01
01/01/2005,16.2,2005-01-01
01/01/2005,84.1,2005-01-01
01/01/2005,8.5,2005-01-01
12/01/2008,44.31,2008-12-01
12/01/2013,37.37,2013-12-01
01/01/2019,24.48,2019-01-01
12/01/2017,31.25,2017-12-01
12/01/2008,40.88,2008-12-01
12/01/2013,34.78,2013-12-01
06/01/2018,11.68,2018-06-01
06/01/2020,12.14,2020-06-01
12/01/2016,31.19,2016-12-01
06/01/2018,22.78,2018-06-01
06/01/2020,17.82,2020-06-01
01/01/2005,138.6,2005-01-01
01/01/2009,18.9,2009-01-01
01/01/2009,131.3,2009-01-01
01/01/2009,68.7,2009-01-01
01/01/2015,5.4,2015-01-01
12/01/2020,17.97,2020-12-01
12/01/2011,34.48,2011-12-01
01/01/2021,21.21,2021-01-01
12/01/2008,32.41,2008-12-01
12/01/2013,28.73,2013-12-01
12/01/2017,27.52,2017-12-01
01/01/2019,19.67,2019-01-01
01/01/2005,22.6,2005-01-01
01/01/2005,11.6,2005-01-01
01/01/2005,29.7,2005-01-01
01/01/2005,58.8,2005-01-01
01/01/2005,124.0,2005-01-01
01/01/2005,26.9,2005-01-01
01/01/2005,35.0,2005-01-01
01/01/2005,43.8,2005-01-01
12/01/2013,34.03,2013-12-01
01/01/2019,24.3,2019-01-01
06/01/2017,24.81,2017-06-01
06/01/2020,27.87,2020-06-01
06/01/2017,29.69,2017-06-01
06/01/2018,30.73,2018-06-01
06/01/2020,31.52,2020-06-01
06/01/2017,25.06,2017-06-01
06/01/2018,26.21,2018-06-01
06/01/2020,28.54,2020-06-01
01/01/2005,5.9,2005-01-01
01/01/2005,2.7,2005-01-01
01/01/2009,6.0,2009-01-01
01/01/2009,4.9,2009-01-01
01/01/2009,130.1,2009-01-01
01/02/2012,2.7,2012-01-02
12/01/2010,22.43,2010-12-01
01/01/2015,18.71,2015-01-01
12/01/2018,21.16,2018-12-01
01/01/2020,15.48,2020-01-01
06/01/2013,20.67,2013-06-01
06/01/2012,22.53,2012-06-01
06/01/2012,40.34,2012-06-01
06/01/2013,37.02,2013-06-01
12/31/2015,31.64,2015-12-31
06/01/2021,22.07,2021-06-01
12/01/2013,22.67,2013-12-01
12/01/2016,26.39,2016-12-01
06/01/2020,13.0,2020-06-01
12/01/2013,29.87,2013-12-01
12/01/2017,27.52,2017-12-01
01/01/2019,19.7,2019-01-01
12/01/2012,8.73,2012-12-01
12/01/2010,13.35,2010-12-01
06/01/2009,10.33,2009-06-01
12/01/2014,10.14,2014-12-01
12/01/2008,13.45,2008-12-01
12/01/2017,27.19,2017-12-01
01/01/2019,19.98,2019-01-01
12/01/2008,13.41,2008-12-01
01/01/2019,6.52,2019-01-01
12/01/2017,8.18,2017-12-01
12/01/2008,33.61,2008-12-01
12/01/2008,27.63,2008-12-01
12/01/2013,24.6,2013-12-01
12/01/2008,15.65,2008-12-01
12/01/2013,13.44,2013-12-01
12/01/2017,8.66,2017-12-01
06/01/2014,14.83,2014-06-01
01/01/2015,18.97,2015-01-01
06/01/2012,29.16,2012-06-01
06/01/2013,26.24,2013-06-01
06/01/2021,27.81,2021-06-01
06/01/2012,21.94,2012-06-01
12/01/2017,25.64,2017-12-01
01/01/2019,17.27,2019-01-01
12/01/2012,8.63,2012-12-01
01/01/2017,7.38,2017-01-01
12/01/2015,8.01,2015-12-01
12/01/2020,6.74,2020-12-01
01/01/2013,29.4,2013-01-01
01/01/2013,0.7,2013-01-01
01/01/2013,6.1,2013-01-01
06/01/2011,11.46,2011-06-01
12/01/2017,8.48,2017-12-01
12/01/2008,12.26,2008-12-01
12/01/2013,11.78,2013-12-01
01/01/2019,6.39,2019-01-01
12/01/2017,8.27,2017-12-01
12/01/2008,32.91,2008-12-01
12/01/2008,32.48,2008-12-01
12/01/2013,29.9,2013-12-01
12/01/2017,28.11,2017-12-01
12/01/2008,31.17,2008-12-01
12/01/2010,28.32,2010-12-01
06/01/2014,19.66,2014-06-01
12/01/2018,24.82,2018-12-01
01/01/2020,19.13,2020-01-01
12/01/2010,25.0,2010-12-01
12/01/2008,12.64,2008-12-01
12/01/2008,13.65,2008-12-01
06/01/2015,30.24,2015-06-01
06/01/2015,29.68,2015-06-01
06/01/2019,28.49,2019-06-01
06/01/2015,17.23,2015-06-01
12/01/2012,30.54,2012-12-01
12/01/2009,29.22,2009-12-01
06/01/2015,20.15,2015-06-01
06/01/2019,19.94,2019-06-01
06/01/2014,17.11,2014-06-01
12/01/2010,24.66,2010-12-01
06/01/2021,29.61,2021-06-01
06/01/2021,28.92,2021-06-01
06/01/2021,28.37,2021-06-01
06/01/2013,18.47,2013-06-01
06/01/2012,18.97,2012-06-01
06/01/2013,18.09,2013-06-01
12/01/2009,27.17,2009-12-01
12/01/2013,19.95,2013-12-01
12/01/2008,30.46,2008-12-01
12/01/2013,12.04,2013-12-01
12/01/2017,8.23,2017-12-01
12/01/2008,11.71,2008-12-01
12/01/2017,7.87,2017-12-01
01/01/2019,6.11,2019-01-01
12/01/2008,13.67,2008-12-01
12/01/2013,12.1,2013-12-01
12/01/2013,28.3,2013-12-01
12/01/2017,24.33,2017-12-01
12/01/2013,27.93,2013-12-01
12/01/2017,26.75,2017-12-01
12/01/2013,11.04,2013-12-01
12/01/2013,11.67,2013-12-01
12/01/2011,31.4,2011-12-01
12/01/2011,19.08,2011-12-01
06/01/2015,28.79,2015-06-01
06/01/2019,28.62,2019-06-01
06/01/2015,27.11,2015-06-01
06/01/2019,24.4,2019-06-01
06/01/2015,25.84,2015-06-01
06/01/2019,24.56,2019-06-01
01/01/2015,9.1,2015-01-01
01/02/2012,12.4,2012-01-02
01/02/2012,5.2,2012-01-02
01/02/2012,15.0,2012-01-02
01/01/2015,10.0,2015-01-01
01/02/2012,1.3,2012-01-02
01/01/2015,0.7,2015-01-01
01/02/2012,15.8,2012-01-02
01/01/2015,9.8,2015-01-01
01/02/2012,118.08,2012-01-02
01/01/2015,87.1,2015-01-01
06/01/2019,18.11,2019-06-01
12/01/2012,23.09,2012-12-01
12/01/2009,20.15,2009-12-01
06/01/2015,14.29,2015-06-01
12/01/2019,21.19,2019-12-01
06/01/2019,23.54,2019-06-01
12/01/2019,32.14,2019-12-01
12/01/2010,26.01,2010-12-01
06/01/2014,17.1,2014-06-01
01/01/2015,21.35,2015-01-01
01/02/2012,2.6,2012-01-02
06/01/2017,22.43,2017-06-01
12/01/2016,30.22,2016-12-01
06/01/2020,16.16,2020-06-01
12/01/2015,29.02,2015-12-01
06/01/2016,22.17,2016-06-01
12/01/2020,25.31,2020-12-01
12/01/2011,31.1,2011-12-01
06/01/2019,27.51,2019-06-01
06/01/2015,31.01,2015-06-01
06/01/2019,27.86,2019-06-01
06/01/2019,28.47,2019-06-01
01/01/2015,2.8,2015-01-01
01/01/2015,1.4,2015-01-01
01/02/2012,4.8,2012-01-02
01/01/2015,98.1,2015-01-01
01/02/2012,40.83,2012-01-02
01/01/2015,34.8,2015-01-01
06/01/2019,24.82,2019-06-01
06/01/2015,31.83,2015-06-01
06/01/2015,27.21,2015-06-01
06/01/2019,24.93,2019-06-01
06/01/2019,23.26,2019-06-01
12/01/2019,32.25,2019-12-01
12/01/2012,25.71,2012-12-01
06/01/2019,15.78,2019-06-01
12/01/2019,25.34,2019-12-01
12/01/2012,33.12,2012-12-01
12/01/2009,33.43,2009-12-01
06/01/2019,22.5,2019-06-01
12/01/2019,31.53,2019-12-01
12/01/2017,8.77,2017-12-01
12/01/2017,8.74,2017-12-01
01/01/2019,6.6,2019-01-01
12/01/2017,8.37,2017-12-01
01/01/2019,6.91,2019-01-01
12/01/2012,19.86,2012-12-01
01/01/2021,16.54,2021-01-01
12/01/2014,25.26,2014-12-01
01/01/2017,18.46,2017-01-01
01/01/2021,16.68,2021-01-01
12/01/2011,17.22,2011-12-01
12/01/2011,20.99,2011-12-01
12/01/2011,20.56,2011-12-01
12/01/2015,23.38,2015-12-01
06/01/2016,13.62,2016-06-01
06/01/2010,14.28,2010-06-01
06/01/2011,14.26,2011-06-01
06/01/2016,9.96,2016-06-01
12/01/2015,22.28,2015-12-01
12/01/2020,22.74,2020-12-01
06/01/2011,18.14,2011-06-01
06/01/2010,18.23,2010-06-01
12/01/2008,15.31,2008-12-01
12/01/2013,13.34,2013-12-01
12/01/2017,8.65,2017-12-01
01/01/2019,7.24,2019-01-01
12/01/2008,14.56,2008-12-01
12/01/2013,12.77,2013-12-01
06/01/2012,24.26,2012-06-01
06/01/2013,23.31,2013-06-01
12/31/2015,24.0,2015-12-31
01/01/2018,22.4,2018-01-01
12/01/2020,19.92,2020-12-01
06/01/2016,14.92,2016-06-01
12/01/2013,11.95,2013-12-01
12/01/2017,7.99,2017-12-01
12/01/2008,14.53,2008-12-01
12/01/2013,13.03,2013-12-01
12/01/2008,28.21,2008-12-01
12/01/2013,22.42,2013-12-01
12/01/2017,21.31,2017-12-01
01/01/2019,13.5,2019-01-01
12/01/2020,18.02,2020-12-01
12/01/2008,27.95,2008-12-01
12/01/2017,8.3,2017-12-01
01/01/2019,7.17,2019-01-01
01/01/2019,6.97,2019-01-01
12/01/2008,15.14,2008-12-01
12/01/2008,15.33,2008-12-01
12/01/2013,14.42,2013-12-01
12/01/2017,9.77,2017-12-01
01/01/2019,8.03,2019-01-01
12/01/2017,8.1,2017-12-01
01/01/2019,6.66,2019-01-01
12/01/2013,11.71,2013-12-01
12/01/2008,34.45,2008-12-01
12/01/2010,31.66,2010-12-01
06/01/2014,23.64,2014-06-01
01/01/2020,20.95,2020-01-01
01/01/2015,20.72,2015-01-01
12/01/2018,21.82,2018-12-01
01/01/2020,17.94,2020-01-01
01/01/2005,20.6,2005-01-01
01/01/2005,28.2,2005-01-01
01/01/2005,27.6,2005-01-01
06/01/2021,29.14,2021-06-01
06/01/2021,18.63,2021-06-01
06/01/2012,14.81,2012-06-01
06/01/2013,14.22,2013-06-01
12/31/2015,16.04,2015-12-31
06/01/2018,13.3,2018-06-01
06/01/2020,13.15,2020-06-01
06/01/2017,14.87,2017-06-01
12/01/2016,26.33,2016-12-01
12/01/2013,30.2,2013-12-01
12/01/2008,38.68,2008-12-01
12/01/2013,33.42,2013-12-01
12/01/2017,28.57,2017-12-01
01/01/2019,22.13,2019-01-01
06/01/2021,10.7,2021-06-01
06/01/2009,10.6,2009-06-01
12/01/2010,13.92,2010-12-01
12/01/2008,13.67,2008-12-01
12/01/2013,12.01,2013-12-01
